timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1704532844871,9,HTTP请求,200,,线程组 1-11,text,true,,223,138,20,20,http://127.0.0.1:8082/api/v1/test/query?id=1,9,0,0
1704532844872,8,HTTP请求,200,,线程组 1-5,text,true,,223,138,19,19,http://127.0.0.1:8082/api/v1/test/query?id=1,8,0,0
1704532844872,9,HTTP请求,200,,线程组 1-2,text,true,,223,138,19,19,http://127.0.0.1:8082/api/v1/test/query?id=1,8,0,0
1704532844874,8,HTTP请求,200,,线程组 1-9,text,true,,223,138,17,17,http://127.0.0.1:8082/api/v1/test/query?id=1,7,0,0
1704532844878,4,HTTP请求,200,,线程组 1-3,text,true,,223,138,17,17,http://127.0.0.1:8082/api/v1/test/query?id=1,3,0,0
1704532844877,5,HTTP请求,200,,线程组 1-14,text,true,,223,138,17,17,http://127.0.0.1:8082/api/v1/test/query?id=1,5,0,0
1704532844873,9,HTTP请求,200,,线程组 1-20,text,true,,223,138,17,17,http://127.0.0.1:8082/api/v1/test/query?id=1,7,0,0
1704532844875,7,HTTP请求,200,,线程组 1-12,text,true,,223,138,16,16,http://127.0.0.1:8082/api/v1/test/query?id=1,6,0,0
1704532844879,4,HTTP请求,200,,线程组 1-1,text,true,,223,138,15,15,http://127.0.0.1:8082/api/v1/test/query?id=1,3,0,0
1704532844875,8,HTTP请求,200,,线程组 1-16,text,true,,223,138,13,13,http://127.0.0.1:8082/api/v1/test/query?id=1,8,0,0
1704532844874,9,HTTP请求,200,,线程组 1-8,text,true,,223,138,13,13,http://127.0.0.1:8082/api/v1/test/query?id=1,9,0,0
1704532844878,6,HTTP请求,200,,线程组 1-6,text,true,,223,138,12,12,http://127.0.0.1:8082/api/v1/test/query?id=1,6,0,0
1704532844879,6,HTTP请求,200,,线程组 1-13,text,true,,223,138,9,9,http://127.0.0.1:8082/api/v1/test/query?id=1,5,0,0
1704532844877,8,HTTP请求,200,,线程组 1-18,text,true,,223,138,9,9,http://127.0.0.1:8082/api/v1/test/query?id=1,8,0,0
1704532844880,6,HTTP请求,200,,线程组 1-7,text,true,,223,138,8,8,http://127.0.0.1:8082/api/v1/test/query?id=1,6,0,0
1704532844879,7,HTTP请求,200,,线程组 1-15,text,true,,223,138,8,8,http://127.0.0.1:8082/api/v1/test/query?id=1,7,0,0
1704532844881,5,HTTP请求,200,,线程组 1-4,text,true,,223,138,8,8,http://127.0.0.1:8082/api/v1/test/query?id=1,4,0,0
1704532844880,6,HTTP请求,200,,线程组 1-10,text,true,,223,138,8,8,http://127.0.0.1:8082/api/v1/test/query?id=1,6,0,0
1704532844883,4,HTTP请求,200,,线程组 1-2,text,true,,223,138,6,6,http://127.0.0.1:8082/api/v1/test/query?id=1,4,0,0
1704532844883,5,HTTP请求,200,,线程组 1-9,text,true,,223,138,5,5,http://127.0.0.1:8082/api/v1/test/query?id=1,5,0,0
1704532844883,6,HTTP请求,200,,线程组 1-3,text,true,,223,138,3,3,http://127.0.0.1:8082/api/v1/test/query?id=1,6,0,0
1704532844886,3,HTTP请求,200,,线程组 1-13,text,true,,223,138,3,3,http://127.0.0.1:8082/api/v1/test/query?id=1,3,0,0
1704532844887,2,HTTP请求,200,,线程组 1-15,text,true,,223,138,1,1,http://127.0.0.1:8082/api/v1/test/query?id=1,2,0,0
